Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
Scan Family Renewal Center/Yaip,1377 Jerome Avenue,Bronx,10452,40.839883,-73.91879,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Brooklyn Faith SDA Church,5518 Church Avenue,Brooklyn,11203,40.652295,-73.924907,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Partial Hospitalization Program KCHC,451 Clarkson Avenue,Brooklyn,11203,40.656638,-73.944933,Health Care,Mental Health,Outpatient Mental Health
Tremont Hlth Center & Park Stp,1836 Arthur Avenue,Bronx,10457,40.844074,-73.894145,Health Care,Hospitals and Clinics,Ambulatory Health Facility
South Bronx Preparatory: A College Board School,360 East  145 Street,Bronx,10454,40.813277,-73.920536,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
St. John's Bread and Life Program,795 Lexington Avenue,Brooklyn,11221,40.690433,-73.928904,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Hour Children Communacity Outreach,36-11 12 Street,Astoria,11106,40.760221,-73.939319,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 114,1155 Cromwell Avenue,Bronx,10452,40.834972,-73.923305,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bronx-Lebanon Inpatient PSychiatric Unit,1265 Franklin Avenue,Bronx,10456,40.831406,-73.903219,Health Care,Mental Health,Inpatient Mental Health
Agudath Israel Of America Community Services Inc,90 Bennett Avenue,New York,10033,40.853153,-73.935644,Human Services,Senior Services,Neighborhood Senior Centers
MJHS Home Care,39 Broadway,New York,10006,40.706347,-74.013421,Health Care,Other Health Care,Certified Home Health Agency
Jacobi Medical Center Outpatient PSychiatric Services,1400 Pelham Parkway South,Bronx,10461,40.856478,-73.847548,Health Care,Mental Health,Outpatient Mental Health
Presbyterian Senior Services,1181 Nelson Avenue,Bronx,10452,40.837312,-73.926019,Human Services,Senior Services,Neighborhood Senior Centers
Leonardo Da Vinci IS 61q,98-50 50 Avenue,Corona,11368,40.742125,-73.862702,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Fort Tryon Long Term Home Health Care Program,3525 Baychester Avenue,Bronx,10466,40.881921,-73.839585,Health Care,Other Health Care,Long Term Home Health Care Program
University Settlement At 175 Eldridge Street,175 Eldridge Street,New York,10002,40.720308,-73.991122,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS 65,700 Jamaica Avenue,Brooklyn,11208,40.686918,-73.878284,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Harlem YMCA,180 West  135 Street,New York,10030,40.81471,-73.942955,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
M.S. M245 The Computer School,100 West   77 Street,New York,10024,40.780878,-73.977819,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS 312 Bergen Beach,7103 Avenue T,Brooklyn,11234,40.622009,-73.90908,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Brookdale Hospital - CPEP,1 Brookdale Plaza,Brooklyn,11212,40.654951,-73.912419,Health Care,Mental Health,Emergency Mental Health
Eagle Academy For Young Men 111,171-10 Linden Boulevard,Jamaica,11434,40.691538,-73.778459,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Juan Morel Campos Secondary School,215 Heyward Street,Brooklyn,11206,40.703877,-73.953477,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Children's Technical Assistance Center for Clinic Treatment,1051 Riverside Drive,New York,10032,40.84251,-73.944554,Health Care,Mental Health,Support Mental Health
Project Hope Charities Inc,170-20 140 Avenue,Jamaica,11434,40.670863,-73.769333,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Kappa Vi,821 Bay   25 Street,Far Rockaway,11691,40.601756,-73.763585,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Abraham Apartments,1790 Clinton Avenue,Bronx,10457,40.841723,-73.892892,Human Services,Permanent Supportive SRO Housing,Supportive Housing
The Salvation Army - Templo de Queens,86-07 35 Avenue,Jackson Heights,11372,40.752448,-73.880666,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bronx-Lebanon PSychiatry Outpatient Department,1276 Fulton Avenue,Bronx,10456,40.831406,-73.903219,Health Care,Mental Health,Outpatient Mental Health
Family/Youth Intervention - Richmond,1765 South Avenue,Staten Is,10314,40.600741,-74.192365,Health Care,Mental Health,Emergency Mental Health
P.S. 50 Vito Marcantonio School,433 East  100 Street,New York,10029,40.785632,-73.940974,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Zichron Acheinu Levy Menachem Tzion,928 44 Street,Brooklyn,11219,40.642477,-73.997398,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Ann's Church of Morrisania,295 St Anns Avenue,Bronx,10454,40.808501,-73.917034,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Vets Inc,111-16 173rd Street,Jamaica,11434,40.673511,-73.768168,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Elohim Community Development and Outreach Inc.,87-47 111 Street,Richmond Hill,11418,40.69564,-73.836156,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Day Treatment South,6581 Hylan Boulevard,Staten Is,10309,40.51219,-74.222434,Health Care,Mental Health,Outpatient Mental Health
Manhattan PC - HHCM,163 West  125 Street,New York,10027,40.809215,-73.947419,Health Care,Mental Health,Support Mental Health
Washington Hgts Hlth Ctr,600 West  168 Street,New York,10032,40.84105,-73.940252,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Bellevue Hospital Center Inpatient Treatment Program,462 1 Avenue,New York,10016,40.739106,-73.975119,Health Care,Mental Health,Inpatient Mental Health
Lincoln Medical & Mental Health Center/Child Outpatient Svc,234 East  149 Street,Bronx,10451,40.817061,-73.924502,Health Care,Mental Health,Outpatient Mental Health
Prevention Consultation & Education,61 West    9 Street,New York,10011,40.734088,-73.998355,Health Care,Mental Health,Support Mental Health
The Child Center of NY - C&Y BCM,118-35 Queens Boulevard,Forest Hills,11375,40.715268,-73.830613,Health Care,Mental Health,Support Mental Health
Pentecost Care Community Outreach,621 East  216 Street,Bronx,10467,40.88245,-73.86665,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Irt Line - Emergency Exit,50 Avenue,Long Island City,11101,40.743611,-73.957539,Transportation,Other Transportation,Transportation Facility
Forensic Training Academy,198 East  121 Street,New York,10035,40.801044,-73.938158,Health Care,Mental Health,Support Mental Health
Brooklyn Children's Museum,145 Brooklyn Avenue,Brooklyn,11213,40.674483,-73.944004,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Church of God Seventh Day Pentecostal,922 St Marks Avenue,Brooklyn,11213,40.674495,-73.941555,Human Services,Soup Kitchens and Food Pantries,Food Pantry
First Corinthian Baptist Church,1912 7 Avenue,New York,10026,40.803176,-73.953153,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Palm Gardens NH ADHCP,2900 Bragg Street,Brooklyn,11235,40.583426,-73.933262,Health Care,Other Health Care,Adult Day Health Care Program - Offsite
More Grace Redemptive Center Inc.,646 Parkside Avenue,Brooklyn,11226,40.655915,-73.951695,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Neighborhood Care Team,451 Clarkson Avenue,Brooklyn,11203,40.656638,-73.944933,Health Care,Mental Health,Support Mental Health
ACUTE PSychiatric Emergency Room,1545 Atlantic Avenue,Brooklyn,11213,40.67844,-73.937367,Health Care,Mental Health,Emergency Mental Health
Staten Island University Hospital South Inpatient Unit,375 Seguine Avenue,Staten Is,10309,40.516842,-74.196283,Health Care,Mental Health,Inpatient Mental Health
Dunlevy Milbank Family Services,14-32 118th Street,New York,10026,40.802345,-73.946386,Health Care,Mental Health,Outpatient Mental Health
P.S. 142 Amalia Castro/01m142,100 Attorney Street,New York,10002,40.71825,-73.984063,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS/Ms 57 James Weldon Johnson,176 East  115 Street,New York,10029,40.797393,-73.941525,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
"Hanac, Inc.",34-35 12 Street,Astoria,11106,40.762716,-73.936837,Human Services,Senior Services,Neighborhood Senior Centers
Emolior Academy,1970 West Farms Road,Bronx,10460,40.839331,-73.879765,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Academy For Young Writers,1065 Elton Street,Brooklyn,11208,40.657302,-73.874038,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Regional Aid For Interim Needs Inc,3450 Boston Road,Bronx,10469,40.87613,-73.848387,Human Services,Senior Services,Neighborhood Senior Centers
Creedmoor ACT Program,79-25 Winchester Boulevard,Bellerose,11426,40.741389,-73.731511,Health Care,Mental Health,Outpatient Mental Health
Danny Kaye School- P.S. 149,700 Sutter Avenue,Brooklyn,11207,40.669356,-73.892759,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Archie's Place,870 East  162 Street,Bronx,10459,40.821196,-73.900153,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Senate,206 West   92 Street,New York,10025,40.79162,-73.973078,Human Services,Permanent Supportive SRO Housing,Supportive Housing
PS/IS 268,92-07 175 Street,Jamaica,11433,40.707665,-73.785202,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Ryan Center Annex,801 Amsterdam Avenue,New York,10025,40.796083,-73.968514,Health Care,Mental Health,Outpatient Mental Health
Health Essential Association,2101 East   16 Street,Brooklyn,11229,40.598713,-73.955217,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Williamsburg Health Center,151 Maujer Street,Brooklyn,11206,40.711055,-73.944509,Health Care,Hospitals and Clinics,Ambulatory Health Facility
United Church of Faith,643 East   88 Street,Brooklyn,11236,40.641544,-73.90968,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Faith Assemblies of God,1014 Gates Avenue,Brooklyn,11221,40.689178,-73.92281,Human Services,Soup Kitchens and Food Pantries,Food Pantry
P.S./I.S. 41 Francis White,411 Thatford Avenue,Brooklyn,11212,40.660217,-73.906869,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
St. Joseph's Med Ctr SH/Adult Home,1216 Bay Street,Staten Is,10305,40.613382,-74.066026,Health Care,Mental Health,Support Mental Health
JBFCS Bronx R.E.A.L. PROS Program,55 Westchester Square,Bronx,10461,40.841636,-73.843044,Health Care,Mental Health,Outpatient Mental Health
Ind - Rockaway Line,Beach 91 Street,Far Rockaway,11693,40.587318,-73.81556,Transportation,Other Transportation,Transportation Facility
Quincy Community Service Inc.,84 Quincy Street,Brooklyn,11238,40.68593,-73.957914,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Institute For The Puerto Rican Hispanic Elderly In,607 Concord Avenue,Bronx,10455,40.814642,-73.907826,Human Services,Senior Services,Neighborhood Senior Centers
Our World Neighborhood Charter School,31-20 37 Street,Astoria,11103,40.761574,-73.91947,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Our Lady of Lourdes,469 West  142 Street,New York,10031,40.823271,-73.948439,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Ministerio El Gran Yo Soy-The Great I am,55-13 Van Cleef Street,Corona,11368,40.74111,-73.853278,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Flushing Jewish Community Council,43-43 Bowne Street,Flushing,11355,40.754687,-73.818988,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Urban Assembly For Applied Math & Science,1595 Bathgate Avenue,Bronx,10457,40.839461,-73.901871,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
P.S. 150q,40-01 43 Avenue,Sunnyside,11104,40.745906,-73.923373,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Lincoln Square Neighborhood Center Inc,250 West   65 Street,New York,10023,40.774725,-73.98698,Human Services,Senior Services,Neighborhood Senior Centers
Tech International Charter School,3120 Corlear Avenue,Bronx,10463,40.880692,-73.906995,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
True Gospel Tabernacle,1 West Tremont Avenue,Bronx,10453,40.852171,-73.909454,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Manhattan Community Center,165 Eldridge Street,New York,10002,40.720072,-73.991275,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Ind Subway/Storage Rm,34 9 Street,Brooklyn,11215,40.673528,-73.995894,Transportation,Other Transportation,Transportation Facility
Peer Counseling Academy,80-45 Winchester Boulevard,Bellerose,11426,40.737064,-73.728975,Health Care,Mental Health,Support Mental Health
Icahn 2,1640 Bronxdale Avenue,Bronx,10462,40.845039,-73.857991,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bronx School Of Young Leaders,40 West Tremont Avenue,Bronx,10453,40.851387,-73.910769,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Crown Heights Preservation Corp,483 Albany Avenue,Brooklyn,11203,40.663386,-73.939679,Human Services,Senior Services,Neighborhood Senior Centers
Liaison & Consultation Unit,79-01 Broadway,Elmhurst,11373,40.74508,-73.885668,Health Care,Mental Health,Support Mental Health
We Care Community Outreach,1624 East  172 Street,Bronx,10472,40.831623,-73.874818,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Promise Zone School Program Co-Located with Clinic Teatment,489 East  153 Street,Bronx,10455,40.818416,-73.913747,Health Care,Mental Health,Support Mental Health
Brownsville Health Center,259 Bristol Street,Brooklyn,11212,40.6647,-73.911101,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Puerto Rican Family Institute - C&Y SCM,28 Deveboise Street,Brooklyn,11206,40.701642,-73.942166,Health Care,Mental Health,Support Mental Health
PS 20,166 Essex Street,New York,10002,40.721272,-73.986309,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Chinatown Family Consultation Center,253 South Street,New York,10002,40.710317,-73.990392,Health Care,Mental Health,Outpatient Mental Health
Salem United Methodist Church,211 West  129 Street,New York,10027,40.812012,-73.947052,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Jhs 223 The Montauk School,4200 16 Avenue,Brooklyn,11219,40.634959,-73.982218,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Esol Civics,23-40 Astoria Boulevard,Astoria,11102,40.771214,-73.923256,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Skilled Nursing Facility Enhanced Support Program,681 Clarkson Avenue,Brooklyn,11203,40.656608,-73.936237,Health Care,Mental Health,Support Mental Health
Jamaica Hispanic SDA Church,88-28 161 Street,Jamaica,11432,40.707318,-73.800889,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Young Women's Leadership School Of Brooklyn (K614),325 Bushwick Avenue,Brooklyn,11206,40.705027,-73.938705,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS/Ms 279 Captain Manuel Rivera Jr.,2100 Walton Avenue,Bronx,10453,40.854687,-73.905012,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
